name,season,description,yield,price,soilType,temperatureRange,rainfall,fertilizer,notes
Phule Harit,Summer,"Phule Harit is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",50.5,₹3094 per quintal,Loamy soil with good drainage and aeration,20°C - 37°C,600-900 mm,Balanced NPK (15:15:15) with farmyard manure,Performs well under drip irrigation; susceptible to fruit borer. (Phule Harit)
Pant Samrat,Kharif,"Pant Samrat is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",33.9,₹3042 per quintal,Fertile clay loam with good water retention,22°C - 37°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Hybrid with high yield potential; monitor for viral diseases. (Pant Samrat)
Pusa Uttam,Kharif & Rabi,"Pusa Uttam is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",37.1,₹3595 per quintal,Loamy soil with good drainage and aeration,20°C - 32°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Hybrid with high yield potential; monitor for viral diseases. (Pusa Uttam)
Pusa Rani,Rabi,"Pusa Rani is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",32.3,₹3464 per quintal,Fertile clay loam with good water retention,26°C - 36°C,450-700 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Recommended for fresh market and local processing. (Pusa Rani)
Ankur Vaibhav,Kharif,"Ankur Vaibhav is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",33.1,₹3316 per quintal,Loamy soil with good drainage and aeration,24°C - 38°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Requires staking and regular pruning for best yields. (Ankur Vaibhav)
Pusa Kranti,Summer,"Pusa Kranti is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",34.1,₹2897 per quintal,Well-drained loamy soil rich in organic matter,22°C - 32°C,500-700 mm,"Urea (split doses), DAP, Muriate of Potash",Hybrid with high yield potential; monitor for viral diseases. (Pusa Kranti)
Pusa Shyamala,Kharif & Rabi,"Pusa Shyamala is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",30.0,₹3423 per quintal,Well-drained loamy soil rich in organic matter,21°C - 37°C,600-900 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Suitable for both open-field and protected cultivation. (Pusa Shyamala)
Pusa Bindu,Summer,"Pusa Bindu is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",42.9,₹3322 per quintal,Fertile clay loam with good water retention,21°C - 38°C,450-700 mm,NPK with compost; apply zinc & boron as needed,Early-maturing variety with good shelf life. (Pusa Bindu)
Shyamala,Summer,"Shyamala is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",39.3,₹2996 per quintal,Loamy soil with good drainage and aeration,23°C - 32°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Hybrid with high yield potential; monitor for viral diseases. (Shyamala)
Green Long,Summer,"Green Long is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",56.4,₹2829 per quintal,Fertile clay loam with good water retention,25°C - 32°C,500-700 mm,NPK with compost; apply zinc & boron as needed,Good resistance to bacterial wilt and shoot borer. (Green Long)
Green Round,Kharif & Rabi,"Green Round is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",44.1,₹3645 per quintal,Loamy soil with good drainage and aeration,21°C - 38°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Requires staking and regular pruning for best yields. (Green Round)
Pusa Navneet,Summer,"Pusa Navneet is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",41.7,₹3101 per quintal,Fertile clay loam with good water retention,25°C - 35°C,450-700 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Performs well under drip irrigation; susceptible to fruit borer. (Pusa Navneet)
